Year,Fuel Type,State,Number of Vehicles,Fuel Consumed,Weight Class,Vehicle Type,Engine Configuration,Fleet Estimates,ST
2014,Hydrogen (HYD),California,16,32,Heavy Duty,Buses,Non-dedicated,Transit Agencies,CA
2014,Hydrogen (HYD),California,9,7,Light Duty,SUVs,Dedicated,State Agencies,CA
2014,Hydrogen (HYD),California,2,0,Light Duty,SUVs,Non-dedicated,Federal Agencies,CA
2014,Hydrogen (HYD),California,0,0,Light Duty,SUVs,Dedicated,Federal Agencies,CA
2014,Hydrogen (HYD),Hawaii,0,0,Light Duty,SUVs,Dedicated,Federal Agencies,HI
2014,Hydrogen (HYD),Hawaii,3,0,Light Duty,SUVs,Non-dedicated,Federal Agencies,HI
2014,Hydrogen (HYD),Ohio,3,2,Light Duty,Automobiles (Compact),Non-dedicated,State Agencies,OH
2014,Hydrogen (HYD),South Carolina,1,1,Heavy Duty,Buses,Dedicated,State Agencies,SC
2013,Hydrogen (HYD),Alabama,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,AL
2013,Hydrogen (HYD),Alaska,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,AK
2013,Hydrogen (HYD),Arizona,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,AZ
2013,Hydrogen (HYD),Arkansas,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,AR
2013,Hydrogen (HYD),California,0,0,Light Duty,SUVs,Dedicated,Federal Agencies,CA
2013,Hydrogen (HYD),California,2,2,Light Duty,Automobiles (Compact),Non-dedicated,Electricity Providers,CA
2013,Hydrogen (HYD),California,4,3,Light Duty,SUVs,Non-dedicated,State Agencies,CA
2013,Hydrogen (HYD),California,4,3,Light Duty,SUVs,Dedicated,State Agencies,CA
2013,Hydrogen (HYD),California,14,28,Heavy Duty,Buses,Non-dedicated,Transit Agencies,CA
2013,Hydrogen (HYD),California,2,0,Light Duty,SUVs,Non-dedicated,Federal Agencies,CA
2013,Hydrogen (HYD),California,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,CA
2013,Hydrogen (HYD),Colorado,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,CO
2013,Hydrogen (HYD),Connecticut,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,CT
2013,Hydrogen (HYD),Delaware,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,DE
2013,Hydrogen (HYD),District of Columbia,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,DC
2013,Hydrogen (HYD),Florida,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,FL
2013,Hydrogen (HYD),Georgia,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,GA
2013,Hydrogen (HYD),Hawaii,0,0,Light Duty,SUVs,Dedicated,Federal Agencies,HI
2013,Hydrogen (HYD),Hawaii,3,0,Light Duty,SUVs,Non-dedicated,Federal Agencies,HI
2013,Hydrogen (HYD),Hawaii,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,HI
2013,Hydrogen (HYD),Idaho,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,ID
2013,Hydrogen (HYD),Illinois,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,IL
2013,Hydrogen (HYD),Indiana,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,IN
2013,Hydrogen (HYD),Iowa,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,IA
2013,Hydrogen (HYD),Kansas,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,KS
2013,Hydrogen (HYD),Kentucky,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,KY
2013,Hydrogen (HYD),Louisiana,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,LA
2013,Hydrogen (HYD),Maine,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,ME
2013,Hydrogen (HYD),Maryland,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,MD
2013,Hydrogen (HYD),Massachusetts,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,MA
2013,Hydrogen (HYD),Michigan,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,MI
2013,Hydrogen (HYD),Minnesota,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,MN
2013,Hydrogen (HYD),Mississippi,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,MS
