Year,Fuel Type,State,Number of Vehicles,Fuel Consumed,Weight Class,Vehicle Type,Engine Configuration,Fleet Estimates,ST
2014,Liquefied Natural Gas (LNG),Alabama,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,AL
2014,Liquefied Natural Gas (LNG),Alabama,2,3,Medium Duty,Trucks,Dedicated,Electricity Providers,AL
2014,Liquefied Natural Gas (LNG),Alaska,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,AK
2014,Liquefied Natural Gas (LNG),Arizona,27,540,Heavy Duty,Buses,Dedicated,Transit Agencies,AZ
2014,Liquefied Natural Gas (LNG),Arizona,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,AZ
2014,Liquefied Natural Gas (LNG),Arkansas,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,AR
2014,Liquefied Natural Gas (LNG),California,100,400,Heavy Duty,Trucks,Dedicated,Natural Gas Providers,CA
2014,Liquefied Natural Gas (LNG),California,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,CA
2014,Liquefied Natural Gas (LNG),California,313,6260,Heavy Duty,Buses,Dedicated,Transit Agencies,CA
2014,Liquefied Natural Gas (LNG),Colorado,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,CO
2014,Liquefied Natural Gas (LNG),Connecticut,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,CT
2014,Liquefied Natural Gas (LNG),Delaware,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,DE
2014,Liquefied Natural Gas (LNG),District of Columbia,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,DC
2014,Liquefied Natural Gas (LNG),Florida,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,FL
2014,Liquefied Natural Gas (LNG),Georgia,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,GA
2014,Liquefied Natural Gas (LNG),Hawaii,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,HI
2014,Liquefied Natural Gas (LNG),Idaho,4,3,Heavy Duty,Buses,Non-dedicated,Federal Agencies,ID
