Year,Fuel Type,State,Number of Vehicles,Fuel Consumed,Weight Class,Vehicle Type,Engine Configuration,Fleet Estimates,ST
2014,"Ethanol, 85 percent (E85)",Colorado,29,2,Light Duty,SUVs,Non-dedicated,Transit Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,20,2,Light Duty,Pickups,Non-dedicated,Transit Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,39,2,Light Duty,Automobiles (Fullsize),Non-dedicated,Transit Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,189,41,Medium Duty,Pickups,Non-dedicated,Natural Gas Providers,CO
2014,"Ethanol, 85 percent (E85)",Colorado,12,2,Light Duty,SUVs,Non-dedicated,Natural Gas Providers,CO
2014,"Ethanol, 85 percent (E85)",Colorado,46,7,Light Duty,Pickups,Non-dedicated,Natural Gas Providers,CO
2014,"Ethanol, 85 percent (E85)",Connecticut,64,3,Light Duty,Automobiles (Compact),Non-dedicated,Federal Agencies,CT
2014,"Ethanol, 85 percent (E85)",Connecticut,22,0,Medium Duty,Pickups,Non-dedicated,State Agencies,CT
2014,"Ethanol, 85 percent (E85)",Connecticut,4,0,Light Duty,Vans (Minivans),Non-dedicated,State Agencies,CT
2014,"Ethanol, 85 percent (E85)",Connecticut,15,0,Light Duty,SUVs,Non-dedicated,State Agencies,CT
2014,"Ethanol, 85 percent (E85)",Connecticut,150,0,Light Duty,Pickups,Non-dedicated,State Agencies,CT
2014,"Ethanol, 85 percent (E85)",Connecticut,1432,0,Light Duty,Automobiles (Midsize),Non-dedicated,State Agencies,CT
2014,"Ethanol, 85 percent (E85)",Connecticut,3,0,Medium Duty,Trucks,Non-dedicated,Propane Fuel Providers,CT
2014,"Ethanol, 85 percent (E85)",Connecticut,1,0,Light Duty,SUVs,Non-dedicated,Electricity Providers,CT
2014,"Ethanol, 85 percent (E85)",Connecticut,2,0,Light Duty,Pickups,Non-dedicated,Electricity Providers,CT
2014,"Ethanol, 85 percent (E85)",Connecticut,6,1,Medium Duty,Trucks,Non-dedicated,Federal Agencies,CT
2014,"Ethanol, 85 percent (E85)",Connecticut,16,0,Medium Duty,Pickups,Non-dedicated,Federal Agencies,CT
2014,"Ethanol, 85 percent (E85)",Connecticut,407,2,Light Duty,Vans (Minivans),Non-dedicated,Federal Agencies,CT
2014,"Ethanol, 85 percent (E85)",Connecticut,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,CT
2014,"Ethanol, 85 percent (E85)",Connecticut,68,5,Light Duty,SUVs,Non-dedicated,Federal Agencies,CT
2014,"Ethanol, 85 percent (E85)",Connecticut,240,2,Light Duty,Pickups,Non-dedicated,Federal Agencies,CT
2014,"Ethanol, 85 percent (E85)",Connecticut,59,4,Light Duty,Automobiles (Midsize),Non-dedicated,Federal Agencies,CT
2014,"Ethanol, 85 percent (E85)",Connecticut,11,1,Light Duty,Automobiles (Fullsize),Non-dedicated,Federal Agencies,CT
2014,"Ethanol, 85 percent (E85)",Delaware,11,1,Light Duty,Automobiles (Midsize),Non-dedicated,Transit Agencies,DE
2014,"Ethanol, 85 percent (E85)",Delaware,545,0,Light Duty,Vans (Minivans),Non-dedicated,State Agencies,DE
2014,"Ethanol, 85 percent (E85)",Delaware,126,0,Light Duty,SUVs,Non-dedicated,State Agencies,DE
2014,"Ethanol, 85 percent (E85)",Delaware,110,0,Light Duty,Pickups,Non-dedicated,State Agencies,DE
2014,"Ethanol, 85 percent (E85)",Delaware,592,0,Light Duty,Automobiles (Midsize),Non-dedicated,State Agencies,DE
2014,"Ethanol, 85 percent (E85)",Delaware,1,0,Light Duty,Pickups,Non-dedicated,Propane Fuel Providers,DE
2014,"Ethanol, 85 percent (E85)",Delaware,26,3,Light Duty,Pickups,Non-dedicated,Electricity Providers,DE
2014,"Ethanol, 85 percent (E85)",Delaware,12,5,Medium Duty,Trucks,Non-dedicated,Federal Agencies,DE
2014,"Ethanol, 85 percent (E85)",Delaware,26,10,Medium Duty,Pickups,Non-dedicated,Federal Agencies,DE
2014,"Ethanol, 85 percent (E85)",Delaware,106,3,Light Duty,Vans (Minivans),Non-dedicated,Federal Agencies,DE
2014,"Ethanol, 85 percent (E85)",Delaware,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,DE
2014,"Ethanol, 85 percent (E85)",Delaware,20,1,Light Duty,SUVs,Non-dedicated,Federal Agencies,DE
2014,"Ethanol, 85 percent (E85)",Delaware,68,8,Light Duty,Pickups,Non-dedicated,Federal Agencies,DE
2014,"Ethanol, 85 percent (E85)",Delaware,21,2,Light Duty,Automobiles (Midsize),Non-dedicated,Federal Agencies,DE
2014,"Ethanol, 85 percent (E85)",Delaware,2,0,Light Duty,Automobiles (Fullsize),Non-dedicated,Federal Agencies,DE
2014,"Ethanol, 85 percent (E85)",Delaware,26,2,Light Duty,Automobiles (Compact),Non-dedicated,Federal Agencies,DE
2014,"Ethanol, 85 percent (E85)",District of Columbia,344,22,Light Duty,Automobiles (Compact),Non-dedicated,Federal Agencies,DC
2014,"Ethanol, 85 percent (E85)",District of Columbia,15,9,Medium Duty,Pickups,Non-dedicated,State Agencies,DC
2014,"Ethanol, 85 percent (E85)",District of Columbia,198,52,Light Duty,Vans (Minivans),Non-dedicated,State Agencies,DC
2014,"Ethanol, 85 percent (E85)",District of Columbia,3,1,Light Duty,SUVs,Non-dedicated,State Agencies,DC
2014,"Ethanol, 85 percent (E85)",District of Columbia,185,90,Light Duty,Pickups,Non-dedicated,State Agencies,DC
2014,"Ethanol, 85 percent (E85)",District of Columbia,106,17,Light Duty,Automobiles (Midsize),Non-dedicated,State Agencies,DC
2014,"Ethanol, 85 percent (E85)",District of Columbia,4,0,Light Duty,Pickups,Non-dedicated,Electricity Providers,DC
2014,"Ethanol, 85 percent (E85)",District of Columbia,10,2,Medium Duty,Trucks,Non-dedicated,Federal Agencies,DC
2014,"Ethanol, 85 percent (E85)",District of Columbia,31,7,Medium Duty,Pickups,Non-dedicated,Federal Agencies,DC
2014,"Ethanol, 85 percent (E85)",District of Columbia,964,33,Light Duty,Vans (Minivans),Non-dedicated,Federal Agencies,DC
2014,"Ethanol, 85 percent (E85)",District of Columbia,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,DC
2014,"Ethanol, 85 percent (E85)",District of Columbia,1092,48,Light Duty,SUVs,Non-dedicated,Federal Agencies,DC
2014,"Ethanol, 85 percent (E85)",District of Columbia,139,8,Light Duty,Pickups,Non-dedicated,Federal Agencies,DC
2014,"Ethanol, 85 percent (E85)",District of Columbia,848,32,Light Duty,Automobiles (Midsize),Non-dedicated,Federal Agencies,DC
2014,"Ethanol, 85 percent (E85)",District of Columbia,226,5,Light Duty,Automobiles (Fullsize),Non-dedicated,Federal Agencies,DC
2014,"Ethanol, 85 percent (E85)",Florida,6,1,Light Duty,Pickups,Non-dedicated,Natural Gas Providers,FL
2014,"Ethanol, 85 percent (E85)",Florida,462,0,Medium Duty,Pickups,Non-dedicated,State Agencies,FL
2014,"Ethanol, 85 percent (E85)",Florida,76,0,Light Duty,Vans (Minivans),Non-dedicated,State Agencies,FL
2014,"Ethanol, 85 percent (E85)",Florida,8,0,Light Duty,Trucks,Non-dedicated,State Agencies,FL
2014,"Ethanol, 85 percent (E85)",Florida,679,0,Light Duty,SUVs,Non-dedicated,State Agencies,FL
2014,"Ethanol, 85 percent (E85)",Florida,921,0,Light Duty,Pickups,Non-dedicated,State Agencies,FL
2014,"Ethanol, 85 percent (E85)",Florida,529,0,Light Duty,Automobiles (Midsize),Non-dedicated,State Agencies,FL
2014,"Ethanol, 85 percent (E85)",Florida,967,0,Light Duty,Automobiles (Fullsize),Non-dedicated,State Agencies,FL
2014,"Ethanol, 85 percent (E85)",Florida,107,0,Light Duty,Automobiles (Compact),Non-dedicated,State Agencies,FL
2014,"Ethanol, 85 percent (E85)",Florida,32,1,Light Duty,Pickups,Non-dedicated,Propane Fuel Providers,FL
2014,"Ethanol, 85 percent (E85)",Florida,46,7,Medium Duty,Pickups,Non-dedicated,Electricity Providers,FL
2014,"Ethanol, 85 percent (E85)",Florida,14,1,Light Duty,Vans (Minivans),Non-dedicated,Electricity Providers,FL
2014,"Ethanol, 85 percent (E85)",Florida,18,2,Light Duty,SUVs,Non-dedicated,Electricity Providers,FL
2014,"Ethanol, 85 percent (E85)",Florida,490,60,Light Duty,Pickups,Non-dedicated,Electricity Providers,FL
2014,"Ethanol, 85 percent (E85)",Florida,23,2,Light Duty,Automobiles (Midsize),Non-dedicated,Electricity Providers,FL
2014,"Ethanol, 85 percent (E85)",Florida,237,61,Medium Duty,Trucks,Non-dedicated,Federal Agencies,FL
2014,"Ethanol, 85 percent (E85)",Florida,364,80,Medium Duty,Pickups,Non-dedicated,Federal Agencies,FL
2014,"Ethanol, 85 percent (E85)",Florida,2081,83,Light Duty,Vans (Minivans),Non-dedicated,Federal Agencies,FL
2014,"Ethanol, 85 percent (E85)",Florida,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,FL
2014,"Ethanol, 85 percent (E85)",Florida,968,75,Light Duty,SUVs,Non-dedicated,Federal Agencies,FL
2014,"Ethanol, 85 percent (E85)",Florida,3349,90,Light Duty,Pickups,Non-dedicated,Federal Agencies,FL
2014,"Ethanol, 85 percent (E85)",Florida,722,68,Light Duty,Automobiles (Midsize),Non-dedicated,Federal Agencies,FL
2014,"Ethanol, 85 percent (E85)",Florida,94,6,Light Duty,Automobiles (Fullsize),Non-dedicated,Federal Agencies,FL
2014,"Ethanol, 85 percent (E85)",Florida,1215,108,Light Duty,Automobiles (Compact),Non-dedicated,Federal Agencies,FL
2014,"Ethanol, 85 percent (E85)",Florida,7,1,Medium Duty,Trucks,Non-dedicated,Natural Gas Providers,FL
