Year,Fuel Type,State,Number of Vehicles,Fuel Consumed,Weight Class,Vehicle Type,Engine Configuration,Fleet Estimates,ST
2014,"Ethanol, 85 percent (E85)",Alabama,29,4,Light Duty,Automobiles (Midsize),Non-dedicated,Natural Gas Providers,AL
2014,"Ethanol, 85 percent (E85)",Alabama,34,1,Medium Duty,Trucks,Non-dedicated,State Agencies,AL
2014,"Ethanol, 85 percent (E85)",Alabama,60,14,Medium Duty,Pickups,Non-dedicated,State Agencies,AL
2014,"Ethanol, 85 percent (E85)",Alabama,81,3,Light Duty,Vans (Minivans),Non-dedicated,State Agencies,AL
2014,"Ethanol, 85 percent (E85)",Alabama,191,17,Light Duty,SUVs,Non-dedicated,State Agencies,AL
2014,"Ethanol, 85 percent (E85)",Alabama,1254,115,Light Duty,Pickups,Non-dedicated,State Agencies,AL
2014,"Ethanol, 85 percent (E85)",Alabama,44,0,Light Duty,Automobiles (Midsize),Non-dedicated,State Agencies,AL
2014,"Ethanol, 85 percent (E85)",Alabama,297,81,Light Duty,Automobiles (Fullsize),Non-dedicated,State Agencies,AL
2014,"Ethanol, 85 percent (E85)",Alabama,9,0,Medium Duty,Trucks,Non-dedicated,Propane Fuel Providers,AL
2014,"Ethanol, 85 percent (E85)",Alabama,4,0,Light Duty,Pickups,Non-dedicated,Propane Fuel Providers,AL
2014,"Ethanol, 85 percent (E85)",Alabama,557,68,Light Duty,Pickups,Non-dedicated,Electricity Providers,AL
2014,"Ethanol, 85 percent (E85)",Alabama,5,1,Light Duty,Automobiles (Fullsize),Non-dedicated,Electricity Providers,AL
2014,"Ethanol, 85 percent (E85)",Alabama,48,5,Medium Duty,Trucks,Non-dedicated,Federal Agencies,AL
2014,"Ethanol, 85 percent (E85)",Alabama,67,4,Medium Duty,Pickups,Non-dedicated,Federal Agencies,AL
2014,"Ethanol, 85 percent (E85)",Alabama,648,27,Light Duty,Vans (Minivans),Non-dedicated,Federal Agencies,AL
2014,"Ethanol, 85 percent (E85)",Alabama,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,AL
2014,"Ethanol, 85 percent (E85)",Alabama,199,15,Light Duty,SUVs,Non-dedicated,Federal Agencies,AL
2014,"Ethanol, 85 percent (E85)",Alabama,663,19,Light Duty,Pickups,Non-dedicated,Federal Agencies,AL
2014,"Ethanol, 85 percent (E85)",Alabama,164,11,Light Duty,Automobiles (Midsize),Non-dedicated,Federal Agencies,AL
2014,"Ethanol, 85 percent (E85)",Alabama,16,2,Light Duty,Automobiles (Fullsize),Non-dedicated,Federal Agencies,AL
2014,"Ethanol, 85 percent (E85)",Alabama,369,39,Light Duty,Automobiles (Compact),Non-dedicated,Federal Agencies,AL
2014,"Ethanol, 85 percent (E85)",Alabama,1,0,Medium Duty,Pickups,Non-dedicated,Natural Gas Providers,AL
2014,"Ethanol, 85 percent (E85)",Alabama,17,3,Light Duty,Pickups,Non-dedicated,Natural Gas Providers,AL
2014,"Ethanol, 85 percent (E85)",Alaska,41,1,Light Duty,Automobiles (Compact),Non-dedicated,Federal Agencies,AK
2014,"Ethanol, 85 percent (E85)",Alaska,5,0,Light Duty,Pickups,Non-dedicated,Propane Fuel Providers,AK
2014,"Ethanol, 85 percent (E85)",Alaska,44,0,Medium Duty,Trucks,Non-dedicated,Federal Agencies,AK
2014,"Ethanol, 85 percent (E85)",Alaska,101,1,Medium Duty,Pickups,Non-dedicated,Federal Agencies,AK
2014,"Ethanol, 85 percent (E85)",Alaska,360,0,Light Duty,Vans (Minivans),Non-dedicated,Federal Agencies,AK
2014,"Ethanol, 85 percent (E85)",Alaska,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,AK
2014,"Ethanol, 85 percent (E85)",Alaska,224,2,Light Duty,SUVs,Non-dedicated,Federal Agencies,AK
2014,"Ethanol, 85 percent (E85)",Alaska,270,1,Light Duty,Pickups,Non-dedicated,Federal Agencies,AK
2014,"Ethanol, 85 percent (E85)",Alaska,42,0,Light Duty,Automobiles (Midsize),Non-dedicated,Federal Agencies,AK
2014,"Ethanol, 85 percent (E85)",Alaska,1,0,Light Duty,Automobiles (Fullsize),Non-dedicated,Federal Agencies,AK
2014,"Ethanol, 85 percent (E85)",Arizona,11,1,Light Duty,Automobiles (Compact),Non-dedicated,Natural Gas Providers,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,348,2,Medium Duty,Pickups,Non-dedicated,State Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,255,16,Light Duty,Vans (Minivans),Non-dedicated,State Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,317,26,Light Duty,SUVs,Non-dedicated,State Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,768,25,Light Duty,Pickups,Non-dedicated,State Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,702,37,Light Duty,Automobiles (Midsize),Non-dedicated,State Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,67,27,Light Duty,Automobiles (Fullsize),Non-dedicated,State Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,2,0,Light Duty,Automobiles (Compact),Non-dedicated,State Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,13,1,Light Duty,Pickups,Non-dedicated,Propane Fuel Providers,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,9,1,Medium Duty,Trucks,Non-dedicated,Electricity Providers,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,34,6,Medium Duty,Pickups,Non-dedicated,Electricity Providers,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,4,0,Light Duty,Vans (Minivans),Non-dedicated,Electricity Providers,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,99,12,Light Duty,SUVs,Non-dedicated,Electricity Providers,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,532,65,Light Duty,Pickups,Non-dedicated,Electricity Providers,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,68,7,Light Duty,Automobiles (Midsize),Non-dedicated,Electricity Providers,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,121,14,Light Duty,Automobiles (Fullsize),Non-dedicated,Electricity Providers,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,3,0,Light Duty,Automobiles (Compact),Non-dedicated,Electricity Providers,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,149,14,Medium Duty,Trucks,Non-dedicated,Federal Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,322,19,Medium Duty,Pickups,Non-dedicated,Federal Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,509,23,Light Duty,Vans (Minivans),Non-dedicated,Federal Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,1583,78,Light Duty,SUVs,Non-dedicated,Federal Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,1532,44,Light Duty,Pickups,Non-dedicated,Federal Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,233,19,Light Duty,Automobiles (Midsize),Non-dedicated,Federal Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,136,6,Light Duty,Automobiles (Fullsize),Non-dedicated,Federal Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,384,15,Light Duty,Automobiles (Compact),Non-dedicated,Federal Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,5,5,Heavy Duty,Buses,Non-dedicated,Federal Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,12,1,Medium Duty,Pickups,Non-dedicated,Transit Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,52,4,Light Duty,SUVs,Non-dedicated,Transit Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,37,3,Light Duty,Pickups,Non-dedicated,Transit Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,86,6,Light Duty,Automobiles (Midsize),Non-dedicated,Transit Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,114,6,Light Duty,Automobiles (Fullsize),Non-dedicated,Transit Agencies,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,153,33,Medium Duty,Pickups,Non-dedicated,Natural Gas Providers,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,15,2,Light Duty,SUVs,Non-dedicated,Natural Gas Providers,AZ
2014,"Ethanol, 85 percent (E85)",Arizona,214,35,Light Duty,Pickups,Non-dedicated,Natural Gas Providers,AZ
2014,"Ethanol, 85 percent (E85)",Arkansas,1,0,Light Duty,Automobiles (Midsize),Non-dedicated,Natural Gas Providers,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,7,0,Light Duty,Pickups,Non-dedicated,Propane Fuel Providers,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,5,1,Medium Duty,Trucks,Non-dedicated,Electricity Providers,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,11,1,Light Duty,Vans (Minivans),Non-dedicated,Electricity Providers,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,109,13,Light Duty,Pickups,Non-dedicated,Electricity Providers,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,4,0,Light Duty,Automobiles (Midsize),Non-dedicated,Electricity Providers,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,1,0,Light Duty,Automobiles (Fullsize),Non-dedicated,Electricity Providers,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,31,5,Medium Duty,Trucks,Non-dedicated,Federal Agencies,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,51,8,Medium Duty,Pickups,Non-dedicated,Federal Agencies,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,176,10,Light Duty,Vans (Minivans),Non-dedicated,Federal Agencies,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,164,12,Light Duty,SUVs,Non-dedicated,Federal Agencies,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,435,11,Light Duty,Pickups,Non-dedicated,Federal Agencies,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,77,6,Light Duty,Automobiles (Midsize),Non-dedicated,Federal Agencies,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,9,1,Light Duty,Automobiles (Fullsize),Non-dedicated,Federal Agencies,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,148,8,Light Duty,Automobiles (Compact),Non-dedicated,Federal Agencies,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,1,0,Heavy Duty,Buses,Non-dedicated,Federal Agencies,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,22,4,Light Duty,SUVs,Non-dedicated,Natural Gas Providers,AR
2014,"Ethanol, 85 percent (E85)",Arkansas,145,24,Light Duty,Pickups,Non-dedicated,Natural Gas Providers,AR
2014,"Ethanol, 85 percent (E85)",California,38,9,Light Duty,Pickups,Non-dedicated,Natural Gas Providers,CA
2014,"Ethanol, 85 percent (E85)",California,2498,73,Medium Duty,Pickups,Non-dedicated,State Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,639,2,Light Duty,Vans (Minivans),Non-dedicated,State Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,33,0,Light Duty,Trucks,Non-dedicated,State Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,2076,3,Light Duty,SUVs,Non-dedicated,State Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,225,0,Light Duty,Pickups,Non-dedicated,State Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,375,2,Light Duty,Automobiles (Midsize),Non-dedicated,State Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,4817,15,Light Duty,Automobiles (Fullsize),Non-dedicated,State Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,5,0,Light Duty,Automobiles (Compact),Non-dedicated,State Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,2,0,Heavy Duty,Trucks,Non-dedicated,State Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,1,0,Light Duty,SUVs,Non-dedicated,Propane Fuel Providers,CA
2014,"Ethanol, 85 percent (E85)",California,54,4,Light Duty,Pickups,Non-dedicated,Propane Fuel Providers,CA
2014,"Ethanol, 85 percent (E85)",California,11,3,Medium Duty,Trucks,Non-dedicated,Electricity Providers,CA
2014,"Ethanol, 85 percent (E85)",California,31,10,Medium Duty,Pickups,Non-dedicated,Electricity Providers,CA
2014,"Ethanol, 85 percent (E85)",California,4,1,Light Duty,Trucks,Non-dedicated,Electricity Providers,CA
2014,"Ethanol, 85 percent (E85)",California,46,11,Light Duty,SUVs,Non-dedicated,Electricity Providers,CA
2014,"Ethanol, 85 percent (E85)",California,104,25,Light Duty,Pickups,Non-dedicated,Electricity Providers,CA
2014,"Ethanol, 85 percent (E85)",California,2,0,Light Duty,Automobiles (Midsize),Non-dedicated,Electricity Providers,CA
2014,"Ethanol, 85 percent (E85)",California,80,19,Light Duty,Automobiles (Fullsize),Non-dedicated,Electricity Providers,CA
2014,"Ethanol, 85 percent (E85)",California,1,0,Heavy Duty,Buses,Non-dedicated,Electricity Providers,CA
2014,"Ethanol, 85 percent (E85)",California,677,196,Medium Duty,Trucks,Non-dedicated,Federal Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,1143,143,Medium Duty,Pickups,Non-dedicated,Federal Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,3670,182,Light Duty,Vans (Minivans),Non-dedicated,Federal Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,2758,120,Light Duty,SUVs,Non-dedicated,Federal Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,5320,252,Light Duty,Pickups,Non-dedicated,Federal Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,1012,77,Light Duty,Automobiles (Midsize),Non-dedicated,Federal Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,304,16,Light Duty,Automobiles (Fullsize),Non-dedicated,Federal Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,1026,74,Light Duty,Automobiles (Compact),Non-dedicated,Federal Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,6,1,Light Duty,Automobiles (Midsize),Non-dedicated,Transit Agencies,CA
2014,"Ethanol, 85 percent (E85)",California,37,12,Medium Duty,Pickups,Non-dedicated,Natural Gas Providers,CA
2014,"Ethanol, 85 percent (E85)",California,4,1,Light Duty,SUVs,Non-dedicated,Natural Gas Providers,CA
2014,"Ethanol, 85 percent (E85)",Colorado,38,5,Light Duty,Automobiles (Midsize),Non-dedicated,Natural Gas Providers,CO
2014,"Ethanol, 85 percent (E85)",Colorado,3,0,Medium Duty,Trucks,Non-dedicated,State Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,100,4,Medium Duty,Pickups,Non-dedicated,State Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,213,8,Light Duty,Vans (Minivans),Non-dedicated,State Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,1,0,Light Duty,Trucks,Non-dedicated,State Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,419,7,Light Duty,SUVs,Non-dedicated,State Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,331,5,Light Duty,Pickups,Non-dedicated,State Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,24,1,Light Duty,Automobiles (Midsize),Non-dedicated,State Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,532,6,Light Duty,Automobiles (Fullsize),Non-dedicated,State Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,1,6,Light Duty,Automobiles (Compact),Non-dedicated,State Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,1,0,Light Duty,SUVs,Non-dedicated,Propane Fuel Providers,CO
2014,"Ethanol, 85 percent (E85)",Colorado,16,1,Light Duty,Pickups,Non-dedicated,Propane Fuel Providers,CO
2014,"Ethanol, 85 percent (E85)",Colorado,3,0,Medium Duty,Trucks,Non-dedicated,Electricity Providers,CO
2014,"Ethanol, 85 percent (E85)",Colorado,113,18,Medium Duty,Pickups,Non-dedicated,Electricity Providers,CO
2014,"Ethanol, 85 percent (E85)",Colorado,2,0,Light Duty,Vans (Minivans),Non-dedicated,Electricity Providers,CO
2014,"Ethanol, 85 percent (E85)",Colorado,40,5,Light Duty,SUVs,Non-dedicated,Electricity Providers,CO
2014,"Ethanol, 85 percent (E85)",Colorado,120,15,Light Duty,Pickups,Non-dedicated,Electricity Providers,CO
2014,"Ethanol, 85 percent (E85)",Colorado,35,4,Light Duty,Automobiles (Fullsize),Non-dedicated,Electricity Providers,CO
2014,"Ethanol, 85 percent (E85)",Colorado,120,25,Medium Duty,Trucks,Non-dedicated,Federal Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,253,50,Medium Duty,Pickups,Non-dedicated,Federal Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,1002,42,Light Duty,Vans (Minivans),Non-dedicated,Federal Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,1019,67,Light Duty,SUVs,Non-dedicated,Federal Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,1668,77,Light Duty,Pickups,Non-dedicated,Federal Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,154,15,Light Duty,Automobiles (Midsize),Non-dedicated,Federal Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,4,0,Light Duty,Automobiles (Fullsize),Non-dedicated,Federal Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,293,22,Light Duty,Automobiles (Compact),Non-dedicated,Federal Agencies,CO
2014,"Ethanol, 85 percent (E85)",Colorado,1,0,Heavy Duty,Buses,Non-dedicated,Federal Agencies,CO
