CNG (Compressed Natural Gas),Natural gas is a fossil fuel that is plentiful in the U.S. It produces less air pollutants and GHGs than gasoline.,"<img src=""http://www.fueleconomy.gov/feg/images/cng_logo.gif""></img>"
Biodiesel,Biodiesel is diesel derived from vegetable oils and animal fats. It usually produces less air pollutants than petroleum-based diesel.,"<img src=""http://www.fueleconomy.gov/feg/images/biodiesel_logo.gif""></img>"
Electricity,"Electricity is produced domestically from a variety of sources such as coal, natural gas, nuclear power, and renewables. Powering vehicles with electricity causes no tailpipe emissions, but generating electricity can produce pollutants and greenhouse gases.","<img src=""http://www.fueleconomy.gov/feg/images/sign-ev-plugin-station.png""></img>"
Ethanol,"Ethanol¾is produced domestically from corn and other crops. It produces less greenhouse gas emissions than gasoline or diesel. E85, also called flex fuel, is an ethanol-gasoline blend containing 51% to 83% ethanol.","<img src=""http://www.fueleconomy.gov/feg/images/e85_logo.gif""></img>"
Propane,"Propane, also called liquefied petroleum gas (LPG), is a domestically abundant fossil fuel. It produces less harmful air pollutants and GHGs than gasoline.","<img src=""http://www.fueleconomy.gov/feg/images/cng_logo.gif""></img>"
Hydrogen,"Hydrogen can be produced domestically from fossil fuels (such as coal), nuclear power, or renewable resources, such as hydropower. Fuel cell vehicles powered by pure hydrogen emit no harmful air pollutants.","<img src=""http://www.fueleconomy.gov/feg/images/hydrogen_logo.gif""></img>"
Gasoline,"Most gas stations offer three octane levels: regular (about 87), mid-grade (about 89) and premium (91 to 93). Generally, gasoline octane ratings are a measure of how well the fuel mixture can resist pre-ignition or knocking. That is to say, higher rating gasoline (like Premium Gas) can keep engines cleaner due to its detergent additives and produce less pollution.","<img src=""https://blog.consumerguide.com/wp-content/uploads/sites/2/2015/03/high-altitude-gas-300x164.jpg""></img>"
