Year,Fuel Type,State,Number of Vehicles,Fuel Consumed,Weight Class,Vehicle Type,Engine Configuration,Fleet Estimates,ST
2014,Electricity (EVC),Alabama,3,0,Light Duty,Automobiles (Compact),Non-dedicated,Federal Agencies,AL
2014,Electricity (EVC),Alabama,4,1,Light Duty,Automobiles (Subcompact),Dedicated,Electricity Providers,AL
2014,Electricity (EVC),Alabama,27,0,Light Duty,Low Speed Vehicles,Dedicated,Electricity Providers,AL
2014,Electricity (EVC),Alabama,5,1,Light Duty,Automobiles (Midsize),Dedicated,Electricity Providers,AL
2014,Electricity (EVC),Alabama,6,0,Light Duty,Automobiles (Compact),Non-dedicated,Electricity Providers,AL
2014,Electricity (EVC),Alabama,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,AL
2014,Electricity (EVC),Alabama,39,1,Light Duty,Low Speed Vehicles,Dedicated,Federal Agencies,AL
2014,Electricity (EVC),Alaska,19,0,Light Duty,Low Speed Vehicles,Dedicated,Federal Agencies,AK
2014,Electricity (EVC),Alaska,1,0,Medium Duty,Trucks,Dedicated,Federal Agencies,AK
2014,Electricity (EVC),Alaska,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,AK
2014,Electricity (EVC),Alaska,1,0,Light Duty,Automobiles (Subcompact),Dedicated,Federal Agencies,AK
2014,Electricity (EVC),Arizona,3,1,Light Duty,Automobiles (Compact),Dedicated,Natural Gas Providers,AZ
2014,Electricity (EVC),Arizona,236,4,Light Duty,Low Speed Vehicles,Dedicated,State Agencies,AZ
2014,Electricity (EVC),Arizona,1,0,Light Duty,Automobiles (Midsize),Non-dedicated,State Agencies,AZ
2014,Electricity (EVC),Arizona,2,0,Light Duty,Automobiles (Compact),Dedicated,State Agencies,AZ
2014,Electricity (EVC),Arizona,3,1,Light Duty,Automobiles (Subcompact),Dedicated,Electricity Providers,AZ
2014,Electricity (EVC),Arizona,16,0,Light Duty,Low Speed Vehicles,Dedicated,Electricity Providers,AZ
2014,Electricity (EVC),Arizona,0,0,Light Duty,Other Vehicles,Non-dedicated,Federal Agencies,AZ
2014,Electricity (EVC),Arizona,2,0,Light Duty,Pickups,Dedicated,Federal Agencies,AZ
2014,Electricity (EVC),Arizona,93,2,Light Duty,Low Speed Vehicles,Dedicated,Federal Agencies,AZ
2014,Electricity (EVC),Arizona,6,0,Light Duty,Automobiles (Compact),Non-dedicated,Federal Agencies,AZ
2014,Electricity (EVC),Arizona,8,0,Light Duty,Low Speed Vehicles,Dedicated,Transit Agencies,AZ
2014,Electricity (EVC),Arizona,3,1,Light Duty,SUVs,Dedicated,Natural Gas Providers,AZ
2014,Electricity (EVC),Arkansas,1,0,Heavy Duty,Trucks,Dedicated,Federal Agencies,AR
2014,Electricity (EVC),Arkansas,3,1,Medium Duty,Trucks,Dedicated,Electricity Providers,AR
2014,Electricity (EVC),Arkansas,3,1,Light Duty,Automobiles (Midsize),Dedicated,Electricity Providers,AR
